"","SID","SEASON","NUMBER","BASIN","SUBBASIN","NAME","ISO_TIME","NATURE","LAT","LON","WMO_WIND","WMO_PRES","WMO_AGENCY","TRACK_TYPE","DIST2LAND","LANDFALL","IFLAG","USA_AGENCY","USA_ATCFID","USA_LAT","USA_LON","USA_RECORD","USA_STATUS","USA_WIND","USA_PRES","USA_SSHS","USA_R34_NE","USA_R34_SE","USA_R34_SW","USA_R34_NW","USA_R50_NE","USA_R50_SE","USA_R50_SW","USA_R50_NW","USA_R64_NE","USA_R64_SE","USA_R64_SW","USA_R64_NW","USA_POCI","USA_ROCI","USA_RMW","USA_EYE","TOK_LAT","TOK_LON","TOK_GRADE","TOK_WIND","TOK_PRES","TOK_R50_DR","TOK_R50_L","TOK_R50_S","TOK_R30_DR","TOK_R30_L","TOK_R30_S","TOK_LAND","CMA_LAT","CMA_LON","CMA_CAT","CMA_WIND","CMA_PRES","HKO_LAT","HKO_LON","HKO_CAT","HKO_WIND","HKO_PRES","NEW_LAT","NEW_LON","NEW_GRADE","NEW_WIND","NEW_PRES","NEW_CI","NEW_DP","NEW_POCI","REU_LAT","REU_LON","REU_TYPE","REU_WIND","REU_PRES","REU_TNUM","REU_CI","REU_RMW","REU_R34_NE","REU_R34_SE","REU_R34_SW","REU_R34_NW","REU_R50_NE","REU_R50_SE","REU_R50_SW","REU_R50_NW","REU_R64_NE","REU_R64_SE","REU_R64_SW","REU_R64_NW","BOM_LAT","BOM_LON","BOM_TYPE","BOM_WIND","BOM_PRES","BOM_TNUM","BOM_CI","BOM_RMW","BOM_R34_NE","BOM_R34_SE","BOM_R34_SW","BOM_R34_NW","BOM_R50_NE","BOM_R50_SE","BOM_R50_SW","BOM_R50_NW","BOM_R64_NE","BOM_R64_SE","BOM_R64_SW","BOM_R64_NW","BOM_ROCI","BOM_POCI","BOM_EYE","BOM_POS_FL","BOM_PRS_FL","NAD_LAT","NAD_LON","NAD_CAT","NAD_WIND","NAD_PRES","WEL_LAT","WEL_LON","WEL_WIND","WEL_PRES","DS8_LAT","DS8_LON","DS8_STAGE","DS8_WIND","DS8_PRES","TD6_LAT","TD6_LON","TD6_STAGE","TD6_WIND","TD6_PRES","TD5_LAT","TD5_LON","TD5_WIND","TD5_PRES","TD5_ROCI","NEU_LAT","NEU_LON","NEU_CLASS","NEU_WIND","NEU_PRES","MLC_LAT","MLC_LON","MLC_CLASS","MLC_WIND","MLC_PRES","USA_GUST","BOM_GUST","BOM_GUSTP","REU_GUST","REU_GUSTP","USA_SEAHGT","USA_SEA_NE","USA_SEA_SE","USA_SEA_SW","USA_SEA_NW","STORM_SPD","STORM_DR","year","month","day","hour","min","geometry"
"1","1997253N12255","1997","81","EP","MM","LINDA","1997-09-09 12:00:00","TS","12.4","-104.7","25","1007","hurdat_epa","main","666","645","O_____________","hurdat_epa","EP141997","12.4","-104.7",NA,"TD","25","1007","-1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","-999.9","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","308","1997","9","9","12","0","c(-104.699996948242, 12.3999996185303)"
"2","1997253N12255","1997","81","EP","MM","LINDA","1997-09-09 15:00:00","TS","12.71","-105.11","NA","NA",NA,"main","648","627","P_____________",NA,"EP141997","12.71","-105.11",NA,"TD","27","1006","-1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","-999.9","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","308","1997","9","9","15","0","c(-105.110000610352, 12.710000038147)"
"3","1997253N12255","1997","81","EP","MM","LINDA","1997-09-09 18:00:00","TS","13","-105.5","30","1006","hurdat_epa","main","630","617","O_____________","hurdat_epa","EP141997","13","-105.5",NA,"TD","30","1006","-1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","-999.9","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","308","1997","9","9","18","0","c(-105.5, 13)"
"4","1997253N12255","1997","81","EP","MM","LINDA","1997-09-09 21:00:00","TS","13.25","-105.83","NA","NA",NA,"main","621","604","P_____________",NA,"EP141997","13.25","-105.83",NA,"TD","32","1005","-1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","-999.9","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","311","1997","9","9","21","0","c(-105.830001831055, 13.25)"
"5","1997253N12255","1997","81","EP","MM","LINDA","1997-09-10 00:00:00","TS","13.5","-106.1","35","1005","hurdat_epa","main","604","585","O_____________","hurdat_epa","EP141997","13.5","-106.1",NA,"TS","35","1005","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","-999.9","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","319","1997","9","10","0","0","c(-106.099998474121, 13.5)"
"6","1997253N12255","1997","81","EP","MM","LINDA","1997-09-10 03:00:00","TS","13.81","-106.32","NA","NA",NA,"main","585","568","P_____________",NA,"EP141997","13.81","-106.32",NA,"TS","37","1003","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","-999.9","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","327","1997","9","10","3","0","c(-106.319999694824, 13.8100004196167)"
"7","1997253N12255","1997","81","EP","MM","LINDA","1997-09-10 06:00:00","TS","14.1","-106.5","40","1002","hurdat_epa","main","568","556","O_____________","hurdat_epa","EP141997","14.1","-106.5",NA,"TS","40","1002","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","-999.9","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","327","1997","9","10","6","0","c(-106.5, 14.1000003814697)"
"8","1997253N12255","1997","81","EP","MM","LINDA","1997-09-10 09:00:00","TS","14.31","-106.66","NA","NA",NA,"main","563","552","P_____________",NA,"EP141997","14.31","-106.66",NA,"TS","45","1000","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","-999.9","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","324","1997","9","10","9","0","c(-106.660003662109, 14.3100004196167)"
"9","1997253N12255","1997","81","EP","MM","LINDA","1997-09-10 12:00:00","TS","14.5","-106.8","50","998","hurdat_epa","main","552","541","O_____________","hurdat_epa","EP141997","14.5","-106.8",NA,"TS","50","998","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","-999.9","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","323","1997","9","10","12","0","c(-106.800003051758, 14.5)"
"10","1997253N12255","1997","81","EP","MM","LINDA","1997-09-10 15:00:00","TS","14.69","-106.95","NA","NA",NA,"main","549","539","P_____________",NA,"EP141997","14.69","-106.95",NA,"TS","52","996","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","-999.9","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-999.9","-999.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","324","1997","9","10","15","0","c(-106.949996948242, 14.6899995803833)"
